_time,latitude: AP0,longitude: AP0,value: AP0
2015-02-01T12:00:00.000-0800,28.352535,-81.603393,407
2015-02-01T13:00:00.000-0800,28.352535,-81.603393,236
2015-02-01T14:00:00.000-0800,28.352535,-81.603393,220
2015-02-01T15:00:00.000-0800,28.352535,-81.603393,49
2015-02-01T16:00:00.000-0800,28.352535,-81.603393,129
2015-02-01T17:00:00.000-0800,28.352535,-81.603393,46
2015-02-01T18:00:00.000-0800,28.352535,-81.603393,35
2015-02-01T19:00:00.000-0800,28.352535,-81.603393,27
2015-02-01T20:00:00.000-0800,28.352535,-81.603393,29
2015-02-01T21:00:00.000-0800,28.352535,-81.603393,4
2015-02-01T22:00:00.000-0800,28.352535,-81.603393,0
2015-02-01T23:00:00.000-0800,28.352535,-81.603393,0
2015-02-02T00:00:00.000-0800,28.352535,-81.603393,0
2015-02-02T01:00:00.000-0800,28.352535,-81.603393,0
2015-02-02T02:00:00.000-0800,28.352535,-81.603393,0
2015-02-02T03:00:00.000-0800,28.352535,-81.603393,8
2015-02-02T04:00:00.000-0800,28.352535,-81.603393,7
2015-02-02T05:00:00.000-0800,28.352535,-81.603393,280
2015-02-02T06:00:00.000-0800,28.352535,-81.603393,323
2015-02-02T07:00:00.000-0800,28.352535,-81.603393,393
2015-02-02T08:00:00.000-0800,28.352535,-81.603393,325
2015-02-02T09:00:00.000-0800,28.352535,-81.603393,273
2015-02-02T10:00:00.000-0800,28.352535,-81.603393,383
2015-02-02T11:00:00.000-0800,28.352535,-81.603393,324
2015-02-02T12:00:00.000-0800,28.352535,-81.603393,297
2015-02-02T13:00:00.000-0800,28.352535,-81.603393,81
2015-02-02T14:00:00.000-0800,28.352535,-81.603393,52
2015-02-02T15:00:00.000-0800,28.352535,-81.603393,75
2015-02-02T16:00:00.000-0800,28.352535,-81.603393,45
2015-02-02T17:00:00.000-0800,28.352535,-81.603393,62
2015-02-02T18:00:00.000-0800,28.352535,-81.603393,39
2015-02-02T19:00:00.000-0800,28.352535,-81.603393,26
2015-02-02T20:00:00.000-0800,28.352535,-81.603393,17
2015-02-02T21:00:00.000-0800,28.352535,-81.603393,2
2015-02-02T22:00:00.000-0800,28.352535,-81.603393,3
2015-02-02T23:00:00.000-0800,28.352535,-81.603393,0
2015-02-03T00:00:00.000-0800,28.352535,-81.603393,0
2015-02-03T01:00:00.000-0800,28.352535,-81.603393,0
2015-02-03T02:00:00.000-0800,28.352535,-81.603393,12
2015-02-03T03:00:00.000-0800,28.352535,-81.603393,0
2015-02-03T04:00:00.000-0800,28.352535,-81.603393,14
2015-02-03T05:00:00.000-0800,28.352535,-81.603393,146
2015-02-03T06:00:00.000-0800,28.352535,-81.603393,131
2015-02-03T07:00:00.000-0800,28.352535,-81.603393,264
2015-02-03T08:00:00.000-0800,28.352535,-81.603393,227
2015-02-03T09:00:00.000-0800,28.352535,-81.603393,172
2015-02-03T10:00:00.000-0800,28.352535,-81.603393,220
2015-02-03T11:00:00.000-0800,28.352535,-81.603393,259
2015-02-03T12:00:00.000-0800,28.352535,-81.603393,323
2015-02-03T13:00:00.000-0800,28.352535,-81.603393,189
2015-02-03T14:00:00.000-0800,28.352535,-81.603393,81
2015-02-03T15:00:00.000-0800,28.352535,-81.603393,62
2015-02-03T16:00:00.000-0800,28.352535,-81.603393,52
2015-02-03T17:00:00.000-0800,28.352535,-81.603393,40
2015-02-03T18:00:00.000-0800,28.352535,-81.603393,55
2015-02-03T19:00:00.000-0800,28.352535,-81.603393,23
2015-02-03T20:00:00.000-0800,28.352535,-81.603393,7
2015-02-03T21:00:00.000-0800,28.352535,-81.603393,24
2015-02-03T22:00:00.000-0800,28.352535,-81.603393,6
2015-02-03T23:00:00.000-0800,28.352535,-81.603393,0
2015-02-04T00:00:00.000-0800,28.352535,-81.603393,0
2015-02-04T01:00:00.000-0800,28.352535,-81.603393,0
2015-02-04T02:00:00.000-0800,28.352535,-81.603393,0
2015-02-04T03:00:00.000-0800,28.352535,-81.603393,13
2015-02-04T04:00:00.000-0800,28.352535,-81.603393,3
