peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,"Jonathons-MacBook-Air.local","Jonathons-MacBook-Air.local","Jonathons-MacBook-Air.local","dmc_group_indexer",,,,,
localhost,"Jonathons-MacBook-Air.local","Jonathons-MacBook-Air.local","Jonathons-MacBook-Air.local","dmc_group_kv_store",,,,,
localhost,"Jonathons-MacBook-Air.local","Jonathons-MacBook-Air.local","Jonathons-MacBook-Air.local","dmc_group_license_master",,,,,
localhost,"Jonathons-MacBook-Air.local","Jonathons-MacBook-Air.local","Jonathons-MacBook-Air.local","dmc_group_search_head",,,,,
